infra_id,phase_reconstruction,duree_totale,cout_total
P007497,1,15.05536640067294,3763.841600168235
P005726,1,27.209881872227,6802.47046805675
P007994,1,10.06709019042886,2516.772547607215
P003202,1,14.28156807336196,2677.7940137553674
P007597,1,31.574009861238352,5683.321775022903
P005726,1,27.209881872227,6802.47046805675
P007994,1,10.06709019042886,2516.772547607215
P007995,1,41.382908303903,10345.72707597575
P007996,1,19.93440025221574,4983.600063053936
P007662,1,2.90619010719818,726.547526799545
P006709,1,26.8424272295558,6710.60680738895
P008025,1,21.534661032935,5383.665258233749
P003849,1,22.25872706475895,4006.570871656611
P007713,1,29.4958950459976,7373.9737614994
P005726,1,27.209881872227,6802.47046805675
P007994,1,10.06709019042886,2516.772547607215
P007995,1,41.382908303903,10345.72707597575
P003330,1,3.90297944787768,975.74486196942
P007770,1,6.43150807507008,1607.87701876752
